name,color,top,left,font_size,R,G,B,cluster,cluster_name
umbanda,#868208,0.6782827129481617,0.648,102,0.5254901960784314,0.5098039215686274,0.03137254901960784,8,musica mexicana
dancehall queen,#b18c03,0.39378853619547843,0.76,102,0.6941176470588235,0.5490196078431373,0.011764705882352941,7,dance pop
monterrey indie,#a9822b,0.23927837405800412,0.37266666666666665,102,0.6627450980392157,0.5098039215686274,0.16862745098039217,1,pop
shibuya-kei,#a88040,0.2870061657912765,0.49933333333333335,102,0.6588235294117647,0.5019607843137255,0.25098039215686274,1,pop
bitpop,#bb8169,0.13678922128339804,0.42933333333333334,102,0.7333333333333333,0.5058823529411764,0.4117647058823529,13,edm
polish viral rap,#ab8704,0.29833295272893356,0.7313333333333333,102,0.6705882352941176,0.5294117647058824,0.01568627450980392,7,dance pop
canadian ccm,#9c880b,0.3113496232016442,0.27666666666666667,102,0.611764705882353,0.5333333333333333,0.043137254901960784,5,rock
mariachi cristiano,#7d991e,0.5351450102763188,0.512,102,0.49019607843137253,0.6,0.11764705882352941,11,classic rock
stomp and flutter,#6b982d,0.615528659511304,0.3486666666666667,102,0.4196078431372549,0.596078431372549,0.17647058823529413,11,classic rock
japanese instrumental,#3fa2cc,0.7587120347111213,0.5186666666666667,102,0.24705882352941178,0.6352941176470588,0.8,4,classical
yugoslav rock,#a87e0c,0.4091345055948847,0.40066666666666667,102,0.6588235294117647,0.49411764705882355,0.047058823529411764,1,pop
kermis,#9d841f,0.46083580726193196,0.41533333333333333,102,0.615686274509804,0.5176470588235295,0.12156862745098039,1,pop
egyptian hip hop,#948f11,0.5199360584608358,0.6633333333333333,102,0.5803921568627451,0.5607843137254902,0.06666666666666667,8,musica mexicana
swedish jazz,#519851,0.7767983557889929,0.49,102,0.3176470588235294,0.596078431372549,0.3176470588235294,10,lo-fi beats
saskatchewan indie,#8e8c25,0.5266499200730761,0.34,102,0.5568627450980392,0.5490196078431373,0.1450980392156863,11,classic rock
kayokyoku,#858f0a,0.5435487554236127,0.3973333333333333,102,0.5215686274509804,0.5607843137254902,0.0392156862745098,11,classic rock
polish rock,#b17917,0.3691710436172642,0.37266666666666665,102,0.6941176470588235,0.4745098039215686,0.09019607843137255,1,pop
ethereal wave,#828c6b,0.4777346426124686,0.19666666666666666,102,0.5098039215686274,0.5490196078431373,0.4196078431372549,3,sleep
french romanticism,#259d81,0.9661109842429778,0.202,102,0.1450980392156863,0.615686274509804,0.5058823529411764,4,classical
folk rock italiano,#85890a,0.6307832838547613,0.478,102,0.5215686274509804,0.5372549019607843,0.0392156862745098,11,classic rock
nuevo flamenco,#838921,0.6856816624800183,0.6126666666666667,102,0.5137254901960784,0.5372549019607843,0.12941176470588237,9,adult standards
japanese vtuber,#c47535,0.16259419958894725,0.3973333333333333,102,0.7686274509803922,0.4588235294117647,0.20784313725490197,13,edm
horror punk,#db501e,0.3730532084950902,0.20066666666666666,102,0.8588235294117647,0.3137254901960784,0.11764705882352941,6,modern rock
salsa peruana,#bf8d03,0.5565654258963234,0.692,102,0.7490196078431373,0.5529411764705883,0.011764705882352941,8,musica mexicana
quebec indie,#9d8443,0.4198675496688742,0.32133333333333336,102,0.615686274509804,0.5176470588235295,0.2627450980392157,5,rock
danish pop rock,#97890c,0.33272436629367436,0.506,102,0.592156862745098,0.5372549019607843,0.047058823529411764,1,pop
romantico,#3eabc0,0.6941310801552866,0.6593333333333333,102,0.24313725490196078,0.6705882352941176,0.7529411764705882,10,lo-fi beats
alternative americana,#789324,0.6021009362868235,0.38266666666666665,102,0.47058823529411764,0.5764705882352941,0.1411764705882353,11,classic rock
celtic metal,#c9692d,0.32372687828271296,0.142,102,0.788235294117647,0.4117647058823529,0.17647058823529413,6,modern rock
korean indie rock,#a88431,0.31363324960036537,0.31533333333333335,102,0.6588235294117647,0.5176470588235295,0.19215686274509805,5,rock
gothenburg metal,#dd5457,0.28380908883306694,0.136,102,0.8666666666666667,0.32941176470588235,0.3411764705882353,6,modern rock
australian trap,#a98804,0.37392098652660427,0.6946666666666667,102,0.6627450980392157,0.5333333333333333,0.01568627450980392,7,dance pop
nashville singer-songwriter,#7d7d21,0.6263073761132679,0.35333333333333333,102,0.49019607843137253,0.49019607843137253,0.12941176470588237,11,classic rock
texas metal,#e04a49,0.4501941082438913,0.16866666666666666,102,0.8784313725490196,0.2901960784313726,0.28627450980392155,12,rain
uk bass,#a8899c,0.18195935145010275,0.6166666666666667,102,0.6588235294117647,0.5372549019607843,0.611764705882353,2,deep house
italian soundtrack,#43a1af,0.7871203471112126,0.21333333333333335,102,0.2627450980392157,0.6313725490196078,0.6862745098039216,4,classical
classic malaysian pop,#968a0c,0.442932176295958,0.376,102,0.5882352941176471,0.5411764705882353,0.047058823529411764,1,pop
narco rap,#988f01,0.280474994290934,0.806,102,0.596078431372549,0.5607843137254902,0.00392156862745098,7,dance pop
icelandic rock,#9a8122,0.45298013245033114,0.37466666666666665,102,0.6039215686274509,0.5058823529411764,0.13333333333333333,5,rock
rave,#d2738a,0.07161452386389587,0.5433333333333333,102,0.8235294117647058,0.45098039215686275,0.5411764705882353,13,edm
contemporary post-bop,#5d9055,0.8077643297556519,0.558,102,0.36470588235294116,0.5647058823529412,0.3333333333333333,10,lo-fi beats
punk urbano,#db6509,0.23484813884448505,0.26866666666666666,102,0.8588235294117647,0.396078431372549,0.03529411764705882,6,modern rock
french techno,#bc89c8,0.03384334322904773,0.8026666666666666,102,0.7372549019607844,0.5372549019607843,0.7843137254901961,2,deep house
classic colombian pop,#84960c,0.6177209408540763,0.7313333333333333,102,0.5176470588235295,0.5882352941176471,0.047058823529411764,8,musica mexicana
okinawan pop,#b67e17,0.2554921214889244,0.39066666666666666,102,0.7137254901960784,0.49411764705882355,0.09019607843137255,1,pop
seattle indie,#a28239,0.40685087919616353,0.31,102,0.6352941176470588,0.5098039215686274,0.2235294117647059,5,rock
canadian americana,#719614,0.64832153459694,0.41,102,0.44313725490196076,0.5882352941176471,0.0784313725490196,11,classic rock
dark wave,#b07956,0.20388216487782598,0.30866666666666664,102,0.6901960784313725,0.4745098039215686,0.33725490196078434,5,rock
guadalajara indie,#a1882d,0.2851792646722996,0.498,102,0.6313725490196078,0.5333333333333333,0.17647058823529413,1,pop
chill breakcore,#c07da3,0.20758163964375428,0.35933333333333334,102,0.7529411764705882,0.49019607843137253,0.6392156862745098,13,edm
bulgarian pop,#b4860d,0.20456725279744234,0.6126666666666667,102,0.7058823529411765,0.5254901960784314,0.050980392156862744,7,dance pop
trap dominicano,#ad8e04,0.36707010733044076,0.7613333333333333,102,0.6784313725490196,0.5568627450980392,0.01568627450980392,7,dance pop
latinx alternative,#ac8417,0.3279287508563599,0.572,102,0.6745098039215687,0.5176470588235295,0.09019607843137255,1,pop
czech folk,#868909,0.6098652660424755,0.464,102,0.5254901960784314,0.5372549019607843,0.03529411764705882,11,classic rock
digital hardcore,#d1576e,0.1896780086777803,0.3,102,0.8196078431372549,0.3411764705882353,0.43137254901960786,6,modern rock
mexican classic rock,#a97255,0.5644211007079242,0.41,102,0.6627450980392157,0.4470588235294118,0.3333333333333333,5,rock
nepali pop,#988e0a,0.4811144096825759,0.48,102,0.596078431372549,0.5568627450980392,0.0392156862745098,1,pop
argentine punk,#d36218,0.3876227449189313,0.256,102,0.8274509803921568,0.3843137254901961,0.09411764705882353,6,modern rock
colombian rock,#b67b19,0.2687371546015072,0.5093333333333333,102,0.7137254901960784,0.4823529411764706,0.09803921568627451,1,pop
chinese r&b,#87920c,0.40009134505594884,0.5013333333333333,102,0.5294117647058824,0.5725490196078431,0.047058823529411764,1,pop
german r&b,#8e960e,0.29833295272893356,0.662,102,0.5568627450980392,0.5882352941176471,0.054901960784313725,7,dance pop
scottish indie,#a47e39,0.37255081068737156,0.26466666666666666,102,0.6431372549019608,0.49411764705882355,0.2235294117647059,5,rock
